ds,y
2023-03-18,214.50869674185464
2023-03-19,227.64913096037608
2023-03-20,218.86444008264465
2023-03-21,213.27429126213593
2023-03-22,220.4643030807661
2023-03-23,203.85731978798583
2023-03-24,200.17321197252207
2023-03-25,211.68190471414243
2023-03-26,215.60805704971477
2023-03-27,199.3013278985507
2023-03-28,220.25338104448744
2023-03-29,172.9187465870307
2023-03-30,193.89318131868137
2023-03-31,198.8211617312073
2023-04-01,193.74772034956305
2023-04-02,212.2356905027933
2023-04-03,171.31712513842746
2023-04-04,172.66371850899742
2023-04-05,173.18603508771932
2023-04-06,152.88755793991416
2023-04-07,152.55864647887324
2023-04-08,156.31160849772382
2023-04-09,147.50909493670886
2023-04-10,163.80321497919556
2023-04-11,164.20474351145037
2023-04-12,161.48628808446455
2023-04-13,156.68808876811593
2023-04-14,149.16298387096774
2023-04-15,153.5642599620493
2023-04-16,158.2156866438356
2023-04-17,154.42175239923222
2023-04-18,158.76805576923076
2023-04-19,157.97089800995025
2023-04-20,161.50694788273617
2023-04-21,147.9026814814815
2023-04-22,135.26044444444446
2023-04-23,161.33627118644068
2023-04-24,133.51553
2023-04-25,142.32187714987714
2023-04-26,133.56664785553048
2023-04-27,136.4702513661202
2023-04-28,155.87143023255814
2023-04-29,139.9655880398671
2023-04-30,145.50469135802467
2023-05-01,145.1479483870968
2023-05-02,155.10328253968254
2023-05-03,158.58670508474577
2023-05-04,139.97490635451507
2023-05-05,141.9102508361204
2023-05-06,140.3303187919463
2023-05-07,141.479703125
2023-05-08,140.91260062893082
2023-05-09,141.00874367088608
2023-05-10,144.45517313432836
2023-05-11,138.04708880308883
2023-05-12,131.35666431095407
2023-05-13,144.2281964285714
2023-05-14,161.92913138686131
2023-05-15,142.9698661971831
2023-05-16,151.41595238095238
2023-05-17,176.48362926829267
2023-05-18,152.5800593220339
2023-05-19,169.34167464114833
2023-05-20,161.46731073446327
2023-05-21,151.92284158415842
2023-05-22,212.57316883116883
2023-05-23,156.0904366812227
2023-05-24,146.05074285714286
2023-05-25,160.52767699115043
2023-05-26,171.99954597701148
2023-05-27,180.33637062937063
2023-05-28,185.80444047619048
2023-05-29,208.3569638554217
2023-05-30,173.2954301075269
2023-05-31,177.57453124999998
2023-06-01,167.13004232804232
2023-06-02,153.41163492063492
2023-06-03,158.15085340314135
2023-06-04,190.27249462365592
2023-06-05,191.35397938144328
2023-06-06,183.0417178217822
2023-06-07,177.07298717948717
2023-06-08,172.85275
2023-06-09,191.50995
2023-06-10,188.8051732283465
2023-06-11,204.0612236024845
2023-06-12,184.0994708994709
2023-06-13,202.32694267515924
2023-06-14,177.8033818181818
2023-06-15,174.1363273809524
2023-06-16,187.93309392265192
2023-06-17,184.9206305732484
2023-06-18,156.51861714285715
2023-06-19,186.69260103626945
2023-06-20,194.485
2023-06-21,223.03296571428572
2023-06-22,177.31790625000002
2023-06-23,177.94389333333334
2023-06-24,204.5822255639098
2023-06-25,190.2166830601093
2023-06-26,201.6099874213837
2023-06-27,221.2157431693989
2023-06-28,193.5293613861386
2023-06-29,199.12064893617023
2023-06-30,184.5857258064516
2023-07-01,222.8318092105263
2023-07-02,199.3389254385965
2023-07-03,184.1177069767442
2023-07-04,217.2189054726368
2023-07-05,213.93970370370369
2023-07-06,202.84250510204083
2023-07-07,214.86844444444444
2023-07-08,217.87291034482757
2023-07-09,233.20626794258376
2023-07-10,217.13479653679653
2023-07-11,180.1953387096774
2023-07-12,195.3824906542056
2023-07-13,206.8000197044335
2023-07-14,199.08452972972972
2023-07-15,213.0037090909091
2023-07-16,197.1720456852792
2023-07-17,229.42766666666668
2023-07-18,207.47831155778897
2023-07-19,207.64031221719455
2023-07-20,221.85542410714285
2023-07-21,211.53502793296087
2023-07-22,214.927364640884
2023-07-23,196.7713740458015
2023-07-24,201.69218545454547
2023-07-25,199.11469615384613
2023-07-26,197.1916008064516
2023-07-27,213.6528232931727
2023-07-28,203.77274074074072
2023-07-29,218.717103286385
2023-07-30,207.40473228346457
2023-07-31,223.4908525179856
2023-08-01,199.1255326460481
2023-08-02,189.55052767527675
2023-08-03,189.32008
2023-08-04,191.54014227642276
2023-08-05,201.91557009345792
2023-08-06,214.1669569536424
2023-08-07,228.8217704402516
2023-08-08,194.3225945121951
2023-08-09,183.8804402515723
2023-08-10,213.9587534722222
2023-08-11,198.537088
2023-08-12,225.3604279835391
2023-08-13,228.827063197026
2023-08-14,218.98232384341637
2023-08-15,197.6645406360424
2023-08-16,202.99360135135137
2023-08-17,210.87803396226417
2023-08-18,222.6298372093023
2023-08-19,215.8440579710145
2023-08-20,231.887694980695
2023-08-21,204.9276718146718
2023-08-22,198.58008794788273
2023-08-23,199.78139666666667
2023-08-24,216.96079384615385
2023-08-25,210.67071290322585
2023-08-26,224.70796732026145
2023-08-27,225.45670976253297
2023-08-28,224.66008133971292
2023-08-29,232.18012661498707
2023-08-30,219.891059602649
2023-08-31,229.7198236714976
2023-09-01,233.97063456790124
2023-09-02,237.8331925287356
2023-09-03,226.3754622222222
2023-09-04,219.81974320987655
2023-09-05,255.06889953271028
2023-09-06,231.5391694117647
2023-09-07,220.68185049019607
2023-09-08,207.71147572815536
2023-09-09,114.51181075268816
2023-09-10,129.09563063063064
2023-09-11,233.143921108742
2023-09-12,258.2490481064483
2023-09-13,230.9254403829417
2023-09-14,240.378
2023-09-15,260.62338172043013
2023-09-16,243.99262857142855
2023-09-17,269.3036666666667
2023-09-18,246.37330575539568
2023-09-19,248.95711571125267
2023-09-20,244.43989001122335
2023-09-21,238.38172528883183
2023-09-22,245.90057360406092
2023-09-23,256.98914569536424
2023-09-24,274.7656372141372
2023-09-25,247.1647776470588
2023-09-26,246.8743612334802
2023-09-27,252.6709657079646
2023-09-28,253.72976715410573
2023-09-29,245.9353870614035
2023-09-30,247.45704530011324
2023-10-01,265.2523578336557
2023-10-02,264.2730039525692
2023-10-03,261.6887290874525
2023-10-04,254.14602557319225
2023-10-05,244.771341888176
2023-10-06,262.44331434184676
2023-10-07,259.5711297777778
2023-10-08,269.88731893004115
2023-10-09,256.60966846986094
2023-10-10,264.94807896625986
2023-10-11,283.0146980319803
2023-10-12,273.41843311160386
2023-10-13,276.5824040092521
2023-10-14,290.0423146953405
2023-10-15,285.6353227815257
2023-10-16,269.314812970469
2023-10-17,280.73744559270517
2023-10-18,263.31610228401195
2023-10-19,263.51651919087135
2023-10-20,276.7487580929959
2023-10-21,279.99509207589284
2023-10-22,286.2437756258857
2023-10-23,276.1392668793195
2023-10-24,265.45217527970163
2023-10-25,260.6241409488715
2023-10-26,266.6897197231834
2023-10-27,260.42259621451103
2023-10-28,280.5456387064174
2023-10-29,286.4090086206897
